date,holiday
1000-01-01,New Year's Day
2019-01-01,New Year's Day
2019-01-06,Epiphany
2019-04-19,Good Friday
2019-04-21,Easter Sunday
2019-04-22,Easter Monday
2019-05-01,May Day
2019-05-30,Ascension Day
2019-06-09,Whit Sunday
2019-06-21,Midsummer's Eve
2019-06-22,Midsummer Day
2019-11-02,All Saints' Day
2019-12-06,Independence Day
2019-12-24,Christmas Eve
2019-12-25,Christmas Day
2019-12-26,2nd Day of Christmas
2020-01-01,New Year's Day
2020-01-06,Epiphany
2020-04-10,Good Friday
2020-04-12,Easter Sunday
2020-04-13,Easter Monday
2020-05-01,May Day
2020-05-21,Ascension Day
2020-05-31,Whit Sunday
2020-06-19,Midsummer's Eve
2020-06-20,Midsummer Day
2020-10-31,All Saints' Day
2020-12-06,Independence Day
2020-12-24,Christmas Eve
2020-12-25,Christmas Day
2020-12-26,2nd Day of Christmas
3000-01-01,New Year's Day
